Bin Code|Label List Site Key|Label List Description|Label List Zip|Origin Point Site Key|Origin Point Description|Drop Ship Site Key Primary|Drop Ship Site Description Primary|Drop Ship Site Address Primary|Drop Ship Site Csz Primary|Drop Ship Site Note Primary|Shipping Carrier Primary|Shipping Method Primary|Container Type Primary|Label Type Primary|Regional Carrier Hub Primary|Days Of The Week Primary|Scac Primary|Account Id Primary|Bin Code Secondary|Drop Ship Site Key Secondary|Drop Ship Site Description Secondary|Drop Ship Site Address Secondary|Drop Ship Site Csz Secondary|Drop Ship Site Note Secondary|Shipping Carrier Secondary|Shipping Method Secondary|Container Type Secondary|Label Type Secondary|Regional Carrier Hub Secondary|Days Of The Week Secondary|Scac Secondary|Account Id Secondary|Is Aptb|Is Scsc
D60-I-108|SW11130|CEDAR RAPIDS IA|52404|KW20787|KANSAS CITY NDC|SW11130|WEST STATION|1930 WILEY BLVD SW|CEDAR RAPIDS IA 524049804|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-108|SW11130|WEST STATION|1930 WILEY BLVD SW|CEDAR RAPIDS IA 524049804|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-109|PW1B337|CHEYENNE WY|82009|KW20787|KANSAS CITY NDC|PW1B337|CHEYENNE|4800 CONVERSE AVE|CHEYENNE WY 820099998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-109|PW1B337|CHEYENNE|4800 CONVERSE AVE|CHEYENNE WY 820099998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-90|PZ11605|LOVELAND CO|80538|KW20787|KANSAS CITY NDC|PZ11605|LOVELAND|446 E 29TH ST|LOVELAND CO 805389998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-90|PZ11605|LOVELAND|446 E 29TH ST|LOVELAND CO 805389998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-91|PZ11464|GREELEY CO|80634|KW20787|KANSAS CITY NDC|PZ11464|GREELEY|930 39TH AVE|GREELEY CO 806349998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-91|PZ11464|GREELEY|930 39TH AVE|GREELEY CO 806349998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-92|SZ18838|LOVELAND CO|80537|KW20787|KANSAS CITY NDC|SZ18838|VALENTINE|601 CLEVELAND AVE|LOVELAND CO 805379997|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-92|SZ18838|VALENTINE|601 CLEVELAND AVE|LOVELAND CO 805379997|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-93|PW10736|INDIANOLA IA|50125|KW20787|KANSAS CITY NDC|PW10736|INDIANOLA|201 W 1ST AVE|INDIANOLA IA 501252525|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-93|PW10736|INDIANOLA|201 W 1ST AVE|INDIANOLA IA 501252525|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-94|BW11722|WEST DES MOINES IA|50265|KW20787|KANSAS CITY NDC|BW11722|WEST DES MOINES|430 5TH ST|WEST DES MOINES IA 502654638|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-94|BW11722|WEST DES MOINES|430 5TH ST|WEST DES MOINES IA 502654638|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-95|PZ11600|LONGMONT CO|80501|KW20787|KANSAS CITY NDC|PZ11600|LONGMONT|201 COFFMAN ST|LONGMONT CO 805019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-95|PZ11600|LONGMONT|201 COFFMAN ST|LONGMONT CO 805019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-96|SZ11708|FORT COLLINS CO|80521|KW20787|KANSAS CITY NDC|SZ11708|FORT COLLINS OLD TOWN STA|301 S HOWES ST FL 1|FORT COLLINS CO 805219997|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-96|SZ11708|FORT COLLINS OLD TOWN STA|301 S HOWES ST FL 1|FORT COLLINS CO 805219997|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-97|PZ11402|FORT COLLINS CO|80525|KW20787|KANSAS CITY NDC|PZ11402|FORT COLLINS|301 BOARDWALK DR|FORT COLLINS CO 805259998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-97|PZ11402|FORT COLLINS|301 BOARDWALK DR|FORT COLLINS CO 805259998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-98|PW10238|CEDAR FALLS IA|50613|KW20787|KANSAS CITY NDC|PW10238|CEDAR FALLS|221 W 6TH ST|CEDAR FALLS IA 506139998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-98|PW10238|CEDAR FALLS|221 W 6TH ST|CEDAR FALLS IA 506139998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-99|PW11077|MUSCATINE IA|52761|KW20787|KANSAS CITY NDC|PW11077|MUSCATINE|3100 CEDAR ST|MUSCATINE IA 527619998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-99|PW11077|MUSCATINE|3100 CEDAR ST|MUSCATINE IA 527619998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-114|4007295|CAPE GIRARDEAU MO|63701|KW20787|KANSAS CITY NDC|4007295|CAPE CARRIER ANNEX|475 KELL FARM DR|CAPE GIRARDEAU MO 637019727|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-114|4007295|CAPE CARRIER ANNEX|475 KELL FARM DR|CAPE GIRARDEAU MO 637019727|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-119|PW17925|SIKESTON MO|63801|KW20787|KANSAS CITY NDC|PW17925|SIKESTON|120 E NORTH ST|SIKESTON MO 638019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-119|PW17925|SIKESTON|120 E NORTH ST|SIKESTON MO 638019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-120|PW17588|POPLAR BLUFF MO|63901|KW20787|KANSAS CITY NDC|PW17588|POPLAR BLUFF|430 POPLAR ST|POPLAR BLUFF MO 639019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-120|PW17588|POPLAR BLUFF|430 POPLAR ST|POPLAR BLUFF MO 639019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-121|4001450|LEBANON MO|65536|KW20787|KANSAS CITY NDC|4001450|LEBANON CARRIER ANNEX|701 E COPELAND ST|LEBANON MO 655367706|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-121|4001450|LEBANON CARRIER ANNEX|701 E COPELAND ST|LEBANON MO 655367706|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-122|PY17104|CHIPPEWA FALLS WI|54729|KW20787|KANSAS CITY NDC|PY17104|CHIPPEWA FALLS|315 N BRIDGE ST|CHIPPEWA FALLS WI 547299925|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-122|PY17104|CHIPPEWA FALLS|315 N BRIDGE ST|CHIPPEWA FALLS WI 547299925|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-123|PY18184|SUPERIOR WI|54880|KW20787|KANSAS CITY NDC|PY18184|SUPERIOR|805 BELKNAP ST|SUPERIOR WI 548802907|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-123|PY18184|SUPERIOR|805 BELKNAP ST|SUPERIOR WI 548802907|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-124|4Y18482|EAU CLAIRE WI|54703|KW20787|KANSAS CITY NDC|4Y18482|EAU CLAIRE CARRIER ANNEX|1420 N HASTINGS WAY|EAU CLAIRE WI 547031827|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-124|4Y18482|EAU CLAIRE CARRIER ANNEX|1420 N HASTINGS WAY|EAU CLAIRE WI 547031827|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-125|BW17466|SAINT LOUIS MO|63114|KW20787|KANSAS CITY NDC|BW17466|TIMOTHY M GAFFNEY|2318 WOODSON RD|SAINT LOUIS MO 631149998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-125|BW17466|TIMOTHY M GAFFNEY|2318 WOODSON RD|SAINT LOUIS MO 631149998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-126|PW19398|WEST FARGO ND|58078|KW20787|KANSAS CITY NDC|PW19398|WEST FARGO|415 MAIN AVE E|WEST FARGO ND 580789998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-126|PW19398|WEST FARGO|415 MAIN AVE E|WEST FARGO ND 580789998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-127|4W1C598|FARGO ND|58102|KW20787|KANSAS CITY NDC|4W1C598|TROLLWOOD|3105 BROADWAY N STE 44|FARGO ND 581021490|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-127|4W1C598|TROLLWOOD|3105 BROADWAY N STE 44|FARGO ND 581021490|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-128|PW18967|GRAND FORKS ND|58201|KW20787|KANSAS CITY NDC|PW18967|GRAND FORKS|2501 28TH AVE S|GRAND FORKS ND 582019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-128|PW18967|GRAND FORKS|2501 28TH AVE S|GRAND FORKS ND 582019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-129|SW19229|FARGO ND|58103|KW20787|KANSAS CITY NDC|SW19229|PRAIRIEWOOD|1455 32ND ST S|FARGO ND 581033400|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-129|SW19229|PRAIRIEWOOD|1455 32ND ST S|FARGO ND 581033400|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-130|PY25494|HOPKINS MN|55343|KW20787|KANSAS CITY NDC|PY25494|HOPKINS|910 1ST ST S|HOPKINS MN 553437502|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-130|PY25494|HOPKINS|910 1ST ST S|HOPKINS MN 553437502|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-131|PY25140|DETROIT LAKES MN|56501|KW20787|KANSAS CITY NDC|PY25140|DETROIT LAKES|250 STATE ST W|DETROIT LAKES MN 565019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-131|PY25140|DETROIT LAKES|250 STATE ST W|DETROIT LAKES MN 565019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-132|4018646|MINNEAPOLIS MN|55449|KW20787|KANSAS CITY NDC|4018646|BLAINE CARRIER ANNEX|9301 BALTIMORE ST NE|MINNEAPOLIS MN 554494335|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-132|4018646|BLAINE CARRIER ANNEX|9301 BALTIMORE ST NE|MINNEAPOLIS MN 554494335|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-133|BY26712|SAINT PAUL MN|55125|KW20787|KANSAS CITY NDC|BY26712|WOODBURY|7595 CURRELL BLVD|SAINT PAUL MN 551252505|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-133|BY26712|WOODBURY|7595 CURRELL BLVD|SAINT PAUL MN 551252505|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-134|PY25627|LAKEVILLE MN|55044|KW20787|KANSAS CITY NDC|PY25627|LAKEVILLE|20711 HOLT AVE|LAKEVILLE MN 550449804|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-134|PY25627|LAKEVILLE|20711 HOLT AVE|LAKEVILLE MN 550449804|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-135|BY24907|MINNEAPOLIS MN|55443|KW20787|KANSAS CITY NDC|BY24907|BROOKLYN PARK|5001 EDINBROOK TER|MINNEAPOLIS MN 554434200|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-135|BY24907|BROOKLYN PARK|5001 EDINBROOK TER|MINNEAPOLIS MN 554434200|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-136|PY25689|LITTLE FALLS MN|56345|KW20787|KANSAS CITY NDC|PY25689|LITTLE FALLS|27 E BROADWAY|LITTLE FALLS MN 563453034|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-136|PY25689|LITTLE FALLS|27 E BROADWAY|LITTLE FALLS MN 563453034|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-137|BY26652|MINNEAPOLIS MN|55438|KW20787|KANSAS CITY NDC|BY26652|BURNETT|6101 W OLD SHAKOPEE RD|MINNEAPOLIS MN 554389998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-137|BY26652|BURNETT|6101 W OLD SHAKOPEE RD|MINNEAPOLIS MN 554389998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-138|PY24712|ALBERT LEA MN|56007|KW20787|KANSAS CITY NDC|PY24712|ALBERT LEA|141 S NEWTON AVE|ALBERT LEA MN 560072524|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-138|PY24712|ALBERT LEA|141 S NEWTON AVE|ALBERT LEA MN 560072524|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-J-139|4Y27849|CHANHASSEN MN|55317|KW20787|KANSAS CITY NDC|4Y27849|CHANHASSEN CARRIER ANNEX|1775 LAKE DR W|CHANHASSEN MN 553178584|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-J-139|4Y27849|CHANHASSEN CARRIER ANNEX|1775 LAKE DR W|CHANHASSEN MN 553178584|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-K-140|P018924|COTTAGE GROVE MN|55016|KW20787|KANSAS CITY NDC|P018924|COTTAGE GROVE|7523 95TH ST S|COTTAGE GROVE MN 550163944|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-K-140|P018924|COTTAGE GROVE|7523 95TH ST S|COTTAGE GROVE MN 550163944|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-K-141|PY26342|SOUTH SAINT PAUL MN|55075|KW20787|KANSAS CITY NDC|PY26342|SOUTH SAINT PAUL|236 CONCORD EXCHANGE N|SOUTH SAINT PAUL MN 550759902|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-K-141|PY26342|SOUTH SAINT PAUL|236 CONCORD EXCHANGE N|SOUTH SAINT PAUL MN 550759902|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-K-142|BY24740|SAINT PAUL MN|55124|KW20787|KANSAS CITY NDC|BY24740|APPLE VALLEY|7287 153RD ST W|SAINT PAUL MN 551247019|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-K-142|BY24740|APPLE VALLEY|7287 153RD ST W|SAINT PAUL MN 551247019|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-K-143|PY24719|ALEXANDRIA MN|56308|KW20787|KANSAS CITY NDC|PY24719|ALEXANDRIA|519 ELM ST|ALEXANDRIA MN 563089905|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-K-143|PY24719|ALEXANDRIA|519 ELM ST|ALEXANDRIA MN 563089905|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-K-144|BY25182|SAINT PAUL MN|55128|KW20787|KANSAS CITY NDC|BY25182|EASTERN HEIGHTS|1175 GERSHWIN AVE N|SAINT PAUL MN 551286127|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-K-144|BY25182|EASTERN HEIGHTS|1175 GERSHWIN AVE N|SAINT PAUL MN 551286127|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-K-145|PY24816|BEMIDJI MN|56601|KW20787|KANSAS CITY NDC|PY24816|BEMIDJI|401 IRVINE AVE NW|BEMIDJI MN 566019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-K-145|PY24816|BEMIDJI|401 IRVINE AVE NW|BEMIDJI MN 566019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-K-146|PY26186|ROCHESTER MN|55901|KW20787|KANSAS CITY NDC|PY26186|ROCHESTER|1445 VALLEYHIGH DR NW|ROCHESTER MN 559019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-K-146|PY26186|ROCHESTER|1445 VALLEYHIGH DR NW|ROCHESTER MN 559019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-K-147|BY25765|MAPLE GROVE MN|55311|KW20787|KANSAS CITY NDC|BY25765|MAPLE GROVE|13500 GROVE DR|MAPLE GROVE MN 553119902|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-K-147|BY25765|MAPLE GROVE|13500 GROVE DR|MAPLE GROVE MN 553119902|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-K-148|BY24904|MINNEAPOLIS MN|55429|KW20787|KANSAS CITY NDC|BY24904|BROOKLYN CENTER|6848 LEE AVE N|MINNEAPOLIS MN 554299998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-K-148|BY24904|BROOKLYN CENTER|6848 LEE AVE N|MINNEAPOLIS MN 554299998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
